"","V1","V2","V3","V4","V5"
"outtmp",17.5534314815238,0.390747584969651,-0.170683950772128,-0.63492373109013,-1.17316297003786
"outtmp",17.7250546172266,0.241559633497567,-0.115556189714682,-0.661770229707259,-1.3052274050839
"outtmp",17.5840424877857,0.388870470890853,0.0763691444811327,-0.861316959453903,-0.902011719097542
"outtmp",17.7420978342931,0.162696157128573,-0.0987250981245758,-0.745308824835805,-1.16148376314394
"outtmp",17.765037819115,0.268123616308619,0.151439596439866,-0.514230212284486,-1.17634145671621
"outtmp",17.5850684486213,0.559746069016889,0.287581283044159,-0.423949335512576,-1.52213943656657
"outtmp",17.6764006654961,0.307576412628384,0.231727623916611,-0.548231244371348,-1.19953228919196
"outtmp",17.7047783519854,0.235043974648729,-0.0430436691545461,-0.770934821966796,-1.01904308875863
"outtmp",17.7808171977375,0.247167202449698,0.101543323797095,-0.731270949816086,-1.53497904943491
"outtmp",17.5794585884275,0.383880668364779,0.229863655162998,-0.834120736105482,-1.31655626119555
"outtmp",17.6838772263736,0.315529556758262,-0.0805547041165087,-0.868154937778764,-1.15272860237438
"outtmp",17.6122878301874,0.331164463125625,0.276334779455039,-0.566904250319916,-1.24453629961031
"outtmp",17.7089451349972,0.302333051457206,0.0398407457911243,-0.868917722100494,-1.08681524505627
"outtmp",17.5683910623057,0.697588462911572,0.552413136409067,-0.0600430761512209,-0.892970810121011
"outtmp",17.6087263970199,0.36201271511048,0.0521001901512191,-0.642945121190877,-0.741652872027539
"outtmp",17.7133203822001,0.42308709999366,0.253829499591331,-0.580064111493322,-1.18577239418901
"outtmp",17.7956888330162,0.378967207808144,-0.116287958444339,-0.891400609751261,-1.33974920253681
"outtmp",17.5593913632741,0.225160151459351,-0.0300046079148345,-0.81138808778006,-1.07372383768983
"outtmp",17.8105720894035,0.149972848839041,-0.234887671695886,-0.759120740155655,-1.04894285543777
"outtmp",17.6104073614335,0.424070825456828,0.0335891608130331,-0.429163602036099,-1.26811383778691
"outtmp",17.658104895273,0.504147197651796,0.10944840650089,-0.496285066244996,-0.997274721518319
"outtmp",17.6222723378478,0.312650190707398,0.160797411296317,-0.397453807974919,-1.01516115200865
"outtmp",17.6449522803703,0.247830610054518,0.163497303486693,-0.381433079898181,-0.816237684985688
"outtmp",17.5886656179206,0.371434313548608,0.401203115326652,-0.313798807769379,-0.88836080320419
"outtmp",17.3991572457954,0.404666452624734,0.135190909417976,-0.504440090709146,-0.728114622386195
"outtmp",17.5644137876488,0.225654920451034,0.360916553589239,-0.605783566479152,-1.08554501384618
"outtmp",17.6593215617256,0.237660802658316,-0.0600728507578751,-0.697710261477669,-1.18621217166459
"outtmp",17.5503214856873,0.225430236859083,0.220583109697281,-0.974308638703496,-1.34281413494916
"outtmp",17.5406705937453,0.430908913076368,0.055482284847178,-0.489581846691125,-0.978169744884173
"outtmp",17.7959322291878,0.41146263745137,0.0179666578781942,-0.944823830777959,-1.33680468881202
"outtmp",17.6691226973546,0.340348221514692,-0.21963157764235,-0.886858278553248,-1.15288790473723
"outtmp",17.5692086615064,0.248456223087641,-0.268436804797597,-0.740457948197061,-1.23670468091517
"outtmp",17.6500852787049,0.607099827963235,-0.0464575663466247,-0.74422670622895,-1.57398521052318
"outtmp",17.3548630539342,0.291354321880524,0.181536700710546,-0.471593932281552,-1.23857272682335
"outtmp",17.6551144278874,0.429947856132904,0.004835667729712,-0.978424648325908,-1.38450768829763
"outtmp",17.5925795240809,0.378602120600572,0.135387329866505,-0.68331729720686,-1.09589323206461
"outtmp",17.5957938561056,0.395102206862961,-0.0346127469883763,-0.651769761415008,-1.00138685393708
"outtmp",17.5506032737318,0.382202170273533,0.11969819770207,-0.4353783230582,-0.859895849545358
"outtmp",17.6348715890591,0.325747828591228,-0.0297728386599146,-0.758903180135687,-1.73284309814623
"outtmp",17.8337867294675,0.289002028408571,-0.0606158001741899,-1.00035647754924,-1.35837357001962
"outtmp",17.5653631277432,0.553274687501648,0.321029034078163,-0.20904310577617,-1.07238126064752
