"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"outtmp",17.7478982921183,0.644864063320544,0.725213267978096,0.175059531642662,-0.0569975259765816,-0.362098277916744,-0.429074840678228,-0.889111010998441,-1.48130062836657,-1.21293713336725
"outtmp",17.4137587083709,0.809801845480886,1.54652000165008,0.823200182230096,-0.524910320494157,0.0934803905372134,-0.325025250994269,-1.27941599765339,-1.6433577776346,-0.30769333622262
"outtmp",17.8453617224473,0.593640497743473,0.667775174749527,0.194814158130367,-0.385174342578297,-0.0169606847783597,-0.392958179595176,-0.613183156163766,-1.10316107293322,-1.08729399850198
"outtmp",17.8245835158228,0.691860206344998,0.624462964120571,0.0439235234062749,-0.423930445397305,-0.383271822160395,-0.472873711291158,-0.870406943861075,-1.32401708270885,-1.46700401776788
"outtmp",17.8478984553651,0.544925356297855,0.696674951275053,0.115763056852297,-0.685231671936593,-0.321244756201225,-0.644742715189005,-0.990036464299845,-1.23256312151518,-0.550270353420872
"outtmp",17.4044022649755,0.7457543262569,0.292745486917444,-0.179234055106244,-0.931420076787052,0.372332844554759,-0.59937068362293,-0.974651721959329,-1.67456680153514,-0.934608827015193
"outtmp",17.6733387158438,0.760874482417209,1.02777380922547,0.551709457436455,-0.102043719389886,-0.183545751486695,-0.680271670621937,-1.29054284111109,-1.68902008887273,-1.04536987245699
"outtmp",17.7428891983407,0.483308661543042,0.531263135204342,0.170274284763954,-0.313558476661415,-0.0692352050370021,-0.376184480605686,-0.719059126813842,-1.48957556963688,-1.28733150620951
"outtmp",17.8406626595798,0.557545862626052,0.834666760587471,-0.124930794232191,-0.771333918450231,-0.308060289857432,-0.0736319663412889,-0.62739363227351,-0.605524241799255,-0.393851378012369
"outtmp",17.6197557171456,0.878562500035191,0.930208926781002,0.629178030997776,0.410652085295143,-0.0654262817862885,-0.393488353284087,-0.723093140780248,-1.51240665297088,-1.85820370336919
"outtmp",17.4340805985247,0.680173054501406,1.00705411546919,0.486251424177574,-0.651548444551552,0.0590882536149198,-0.584814769156988,-1.48026565678972,-1.90690853257202,-0.747459971287879
"outtmp",17.5465404925623,0.509345177370845,0.555823235086569,0.29908457926074,-0.624506591367298,0.0361956522201491,-0.219578265418719,-0.477752435297148,-1.03172541161423,-0.727771809603423
"outtmp",17.6952609147985,0.724186834676353,0.578550294017345,-0.0756182155301919,-0.102770103123129,-0.0998036056268781,-0.433547819206253,-0.46517332992713,-0.621989627579698,-0.73468230644319
"outtmp",17.6078506100259,0.801353458415208,1.05147118326893,0.161295146483528,-0.316615195216732,0.14421686545644,-0.584103654009022,-1.34595915389003,-1.42558722242484,-1.29919224133392
"outtmp",17.729257821532,0.592131604911652,0.986126804368339,-0.260413663243633,-0.980551605082356,-0.205900271483507,-0.664795832370284,-1.25050898454488,-0.648166618314201,-0.334466824283983
"outtmp",17.623730662816,0.683093822023126,0.792943346665009,0.33196556140032,-0.472249854236163,0.0100480130365481,-0.537497973649395,-1.00012934748134,-1.42608233318693,-1.08521972861983
"outtmp",17.5972813910321,0.678470850502104,0.732313629996442,0.0655532896015773,-0.343984674116153,0.0766191413006767,-0.462913389954982,-0.779881972336923,-1.38724953487221,-1.11862107683439
